ID,Growth,Production,BGC type,BGC
URHYD,0.9999999999999987,1.0000000000120874,T1PKS,
ATAH,1.000000000316466,1.0000000000116196,T1PKS,
FBA3,0.999999999999997,1.0000000000112947,T1PKS,
VNDH_2,0.9999999999999893,1.0000000000108071,T1PKS,
THYDNAPO,1.0000000000000044,1.0000000000107259,T1PKS,
SHSL1,1.000000000042989,1.0000000000107134,T1PKS,
HISTD,0.9999999999999956,1.0000000000106453,T1PKS,
HIBD,0.9999999999999956,1.0000000000106453,T1PKS,
HISTDa,0.9999999999999956,1.0000000000106453,T1PKS,
HISTDb,0.9999999999999956,1.0000000000106453,T1PKS,
HISNH4L,0.9999999999999956,1.0000000000106453,T1PKS,
DXFUTOR,1.0000000000429898,1.0000000000104214,T1PKS,
DUTPDP,1.0000000000429898,1.0000000000104214,T1PKS,
DX5PGLYCPL,1.0000000000429898,1.0000000000104214,T1PKS,
HBCO_nadp,0.9999999999999957,1.000000000010409,T1PKS,
PPM2,0.9999881907768826,1.000000000010365,T1PKS,
P5CD,1.0000000000429885,1.0000000000102653,T1PKS,
ADCYRS,1.0000106757084983,1.0000000000101368,T1PKS,
ACCOAC_1,0.9999999999999959,1.0000000000101132,T1PKS,
ATNS_nh4,0.9998903615446577,1.0000000000100757,T1PKS,
MI1PP,1.000000000000001,1.0000000000100098,T1PKS,
MI1PS,1.0000000000000064,1.0000000000099516,T1PKS,
MGCH,1.0000000000000064,1.0000000000099516,T1PKS,
OIVD3,1.0000000000429867,1.0000000000098321,T1PKS,
OIVD2,1.0000000000429867,1.0000000000098321,T1PKS,
ALBFLONR,0.9999999999999871,1.0000000000098321,T1PKS,
GLDBRAN2,1.0000000000000033,1.0000000000096696,T1PKS,
GMPS,0.9995187690085838,1.0000000000095883,T1PKS,
DHNAS,1.0000000000000047,1.0000000000090195,T1PKS,
CHORDH,1.0000000000000027,1.000000000008971,T1PKS,
PPNCL2,1.0000000000000047,1.0000000000088958,T1PKS,
NMNDA,1.000000000000006,1.000000000008828,T1PKS,
BFORMDC,0.9999999999999943,1.000000000008613,T1PKS,
GLYCTO2,1.0000000000000029,1.0000000000085931,T1PKS,
MTAM_nh4,0.999999999999997,1.000000000008586,T1PKS,
GCCc,0.999999999999997,1.000000000008586,T1PKS,
UPP3MT,1.000000000042987,1.0000000000084588,T1PKS,
FMNRx2,0.9999999999999989,1.0000000000084517,T1PKS,
AGDC,1.0000000000429863,1.000000000008282,T1PKS,
NMNHYD,0.9999548619374705,1.0000000000081712,T1PKS,
NNAM,0.9999548619374705,1.0000000000081712,T1PKS,
NDPK9,1.000000000000005,1.0000000000081712,T1PKS,
ACGS,1.0000000000000007,1.0000000000081006,T1PKS,
ACGK,1.0000000000000007,1.0000000000081006,T1PKS,
ACGAMK,1.0000000000000007,1.0000000000081006,T1PKS,
ACCS,1.0000000000000007,1.0000000000081006,T1PKS,
IDOND2,0.999999999999992,1.0000000000079936,T1PKS,
IDPS2,0.999999999999992,1.0000000000079936,T1PKS,
PPA_1,0.9981369013110292,1.0000000000077194,T1PKS,
EPIZSYN,1.0000000000429876,1.0000000000076137,T1PKS,
MDDCP3,1.0000000000429883,1.0000000000075115,T1PKS,
HXAND,0.999999999999997,1.0000000000075027,T1PKS,
HXPRT,0.999999999999997,1.0000000000075027,T1PKS,
CITL,1.0000000000429905,1.000000000007485,T1PKS,
ME2,0.9999999999999934,1.0000000000073943,T1PKS,
MI3PP,1.0000000000429894,1.0000000000073024,T1PKS,
TRPS3,1.0000000000000044,1.0000000000072875,T1PKS,
TRPS1,1.0000000000000044,1.0000000000072875,T1PKS,
TRPO2,1.0000000000000044,1.0000000000072875,T1PKS,
TREPP,1.0000000000000044,1.0000000000072875,T1PKS,
TRPS2,1.0000000000000044,1.0000000000072875,T1PKS,
GTPDPDP,0.999999999999997,1.0000000000072644,T1PKS,
THMabc,1.0000000000000018,1.0000000000072453,T1PKS,
SUCD3,1.0000000000000018,1.0000000000072453,T1PKS,
SULabc,1.0000000000000018,1.0000000000072453,T1PKS,
THD2,1.0000000000000018,1.0000000000072453,T1PKS,
