,Organism Name,Clade Level 1,Clade Level 2,Clade Level 3,Clade Level 4,Clade Level 5,Clade Level 6,Clade Level 7,Clade Level 8
84,Streptomyces griseus subsp. griseus NBRC 13350,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,Streptomyces_griseus_group,,,
85,Streptomyces olivoviridis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,Streptomyces_griseus_group,,,
86,Streptomyces globisporus subsp. globisporus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,Streptomyces_griseus_group,,,
87,Streptomyces anulatus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,Streptomyces_griseus_group,,,
88,Streptomyces albus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
89,Streptomyces coelicolor A3(2),Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,Streptomyces_albidoflavus_group,,,
90,Streptomyces albidoflavus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,Streptomyces_albidoflavus_group,,,
91,Streptomyces actuosus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
92,Kutzneria albida DSM 43870,Terrabacteria_group,Actinomycetes,Pseudonocardiaceae,,,,,
93,Amycolatopsis sp. YIM 10,Terrabacteria_group,Actinomycetes,Pseudonocardiaceae,Amycolatopsis,,,,
94,Amycolatopsis saalfeldensis,Terrabacteria_group,Actinomycetes,Pseudonocardiaceae,Amycolatopsis,,,,
95,Saccharopolyspora cebuensis,Terrabacteria_group,Actinomycetes,Pseudonocardiaceae,Saccharopolyspora,,,,
96,Saccharopolyspora erythraea NRRL 2338,Terrabacteria_group,Actinomycetes,Pseudonocardiaceae,Saccharopolyspora,,,,
97,Saccharopolyspora sp.,Terrabacteria_group,Actinomycetes,Pseudonocardiaceae,Saccharopolyspora,,,,
98,Actinokineospora spheciospongiae,Terrabacteria_group,Actinomycetes,Pseudonocardiaceae,Actinokineospora,,,,
99,Actinokineospora diospyrosa,Terrabacteria_group,Actinomycetes,Pseudonocardiaceae,Actinokineospora,,,,
100,Actinokineospora fastidiosa,Terrabacteria_group,Actinomycetes,Pseudonocardiaceae,Actinokineospora,,,,
101,Sanguibacter keddieii DSM 10542,Terrabacteria_group,Actinomycetes,Micrococcales,,,,,
102,Clavibacter michiganensis subsp. michiganensis NCPPB 382,Terrabacteria_group,Actinomycetes,Micrococcales,Microbacteriaceae,,,,
103,Microbacterium arborescens,Terrabacteria_group,Actinomycetes,Micrococcales,Microbacteriaceae,,,,
